"","Country","Status","HIV.AIDS","Income.composition.of.resources","Adult.Mortality","under.five.deaths","thinness.5.9.years","Diphtheria","Schooling","Life.expectancy","continent","class"
"2","Afghanistan",0,0.1,0.476,271,80,11.3,65,10,59.9,"Asia",0
"3","Afghanistan",0,0.1,0.47,268,80,11.3,65,9.9,59.9,"Asia",0
"12","Afghanistan",0,0.1,0.381,293,80,11.3,65,6.8,57,"Asia",0
"13","Afghanistan",0,0.1,0.373,295,80,11.3,65,6.8,56.7,"Asia",0
"17","Albania",0,0.1,0.762,74,0,1.3,99,14.2,77.8,"Europe",1
"18","Albania",0,0.1,0.761,12,1,1.3,98,14.2,77.5,"Europe",1
"19","Albania",0,0.1,0.759,84,1,1.4,99,14.2,77.2,"Europe",1
"20","Albania",0,0.1,0.752,86,1,1.4,99,14.2,76.9,"Europe",1
"21","Albania",0,0.1,0.738,88,1,1.5,99,13.3,76.6,"Europe",1
"22","Albania",0,0.1,0.725,91,1,1.5,99,12.5,76.2,"Europe",1
"23","Albania",0,0.1,0.721,91,1,1.6,98,12.2,76.1,"Europe",1
"24","Albania",0,0.1,0.713,12,1,1.6,99,12,75.3,"Europe",1
"25","Albania",0,0.1,0.703,12,1,1.7,98,11.6,75.9,"Europe",1
"26","Albania",0,0.1,0.696,99,1,1.8,97,11.4,74.2,"Europe",1
"27","Albania",0,0.1,0.685,15,1,1.8,98,10.8,73.5,"Europe",1
"28","Albania",0,0.1,0.681,17,1,1.9,97,10.9,73,"Europe",1
"29","Albania",0,0.1,0.674,18,1,2,97,10.7,72.8,"Europe",1
"30","Albania",0,0.1,0.67,15,1,2.1,98,10.7,73.3,"Europe",1
"31","Albania",0,0.1,0.662,14,1,2.1,97,10.6,73.6,"Europe",1
"32","Albania",0,0.1,0.656,12,1,2.2,97,10.7,72.6,"Europe",1
"33","Algeria",0,0.1,0.743,19,24,5.8,95,14.4,75.6,"Africa",1
"34","Algeria",0,0.1,0.741,12,24,5.8,95,14.4,75.4,"Africa",1
"35","Algeria",0,0.1,0.737,112,24,5.8,95,14.4,75.3,"Africa",1
"36","Algeria",0,0.1,0.732,113,24,5.8,95,14.4,75.1,"Africa",1
"37","Algeria",0,0.1,0.724,116,24,5.8,95,14,74.9,"Africa",1
"38","Algeria",0,0.1,0.714,119,24,5.8,95,13.6,74.7,"Africa",1
"39","Algeria",0,0.1,0.705,123,23,5.9,95,13.1,74.4,"Africa",1
"40","Algeria",0,0.1,0.697,126,23,5.9,93,12.6,74.1,"Africa",1
"41","Algeria",0,0.1,0.69,129,23,5.9,95,12.3,73.8,"Africa",1
"42","Algeria",0,0.1,0.686,132,23,6,95,12.3,73.4,"Africa",1
"48","Algeria",0,0.1,0.636,145,25,6.4,86,10.7,71.3,"Africa",1
"49","Angola",0,1,0.531,335,80,8.2,65,11.4,52.6,"Africa",0
"56","Angola",0,1,0.468,371,80,9.4,69,8.1,52.6,"Africa",0
"58","Angola",0,1,0.439,381,80,9.7,65,7.2,52.6,"Africa",0
"59","Angola",0,1,0.426,382,80,9.9,65,6.8,52.6,"Africa",0
"60","Angola",0,1,0.415,383,80,1.1,65,6.8,52.6,"Africa",0
"65","Antigua and Barbuda",0,0.2,0.784,13,0,3.3,99,13.9,76.4,"Americas",1
"66","Antigua and Barbuda",0,0.2,0.782,131,0,3.3,99,13.9,76.2,"Americas",1
"67","Antigua and Barbuda",0,0.2,0.781,133,0,3.3,99,13.9,76.1,"Americas",1
"68","Antigua and Barbuda",0,0.2,0.778,134,0,3.3,98,13.8,75.9,"Americas",1
"69","Antigua and Barbuda",0,0.1,0.782,136,0,3.3,99,14.1,75.7,"Americas",1
"70","Antigua and Barbuda",0,0.1,0.783,138,0,3.3,98,14.1,75.6,"Americas",1
"71","Antigua and Barbuda",0,0.1,0.788,14,0,3.3,99,14.2,75.4,"Americas",1
"72","Antigua and Barbuda",0,0.1,0.786,142,0,3.3,99,14.4,75.2,"Americas",1
"73","Antigua and Barbuda",0,0.1,0.781,144,0,3.3,99,14.5,75,"Americas",1
"74","Antigua and Barbuda",0,0.1,0.773,145,0,3.4,99,14.7,74.8,"Americas",1
"75","Antigua and Barbuda",0,0.1,0.286,147,0,3.4,99,6.8,74.6,"Americas",1
"76","Antigua and Barbuda",0,0.1,0.286,149,0,3.4,97,6.8,74.4,"Americas",1
"77","Antigua and Barbuda",0,0.1,0.286,151,0,3.5,99,6.8,74.2,"Americas",1
"78","Antigua and Barbuda",0,0.1,0.286,153,0,3.5,98,6.8,74,"Americas",1
"79","Antigua and Barbuda",0,0.1,0.286,154,0,3.5,97,6.8,73.8,"Americas",1
"80","Antigua and Barbuda",0,0.1,0.286,156,0,3.6,95,6.8,73.6,"Americas",1
